model,model_display,n_pairs,short_threshold,long_threshold,forward_count,reverse_count,forward_rate,forward_ci_low,forward_ci_high,reverse_rate,reverse_ci_low,reverse_ci_high,directional_binomial_p
qwen/qwen3-30b-a3b-instruct-2507,Qwen3-30B-A3B,504,80,500,203,0,0.4027777778,0.3611111111,0.4464285714,0,0,0,1.555753819e-61
openai/gpt-oss-20b,GPT-OSS-20B,504,80,500,59,16,0.1170634921,0.09126984127,0.1448412698,0.03174603175,0.01785714286,0.04761904762,6.114156573e-07
nvidia/nemotron-3-nano-30b-a3b,Nemotron-3-Nano,504,80,500,56,120,0.1111111111,0.08333333333,0.1388888889,0.2380952381,0.2023809524,0.2757936508,1.58932688e-06
