jaccard_threshold,n_units,largest_unit,Qwen3-30B-A3B gap pp,Qwen3-30B-A3B ci_low,Qwen3-30B-A3B ci_high,Qwen3-30B-A3B p,GPT-OSS-20B gap pp,GPT-OSS-20B ci_low,GPT-OSS-20B ci_high,GPT-OSS-20B p,Nemotron-3-Nano gap pp,Nemotron-3-Nano ci_low,Nemotron-3-Nano ci_high,Nemotron-3-Nano p,Qwen3-30B-A3B-GPT-OSS-20B pp,Qwen3-30B-A3B-GPT-OSS-20B ci_low,Qwen3-30B-A3B-GPT-OSS-20B ci_high,Qwen3-30B-A3B-GPT-OSS-20B p,Qwen3-30B-A3B-Nemotron-3-Nano pp,Qwen3-30B-A3B-Nemotron-3-Nano ci_low,Qwen3-30B-A3B-Nemotron-3-Nano ci_high,Qwen3-30B-A3B-Nemotron-3-Nano p,GPT-OSS-20B-Nemotron-3-Nano pp,GPT-OSS-20B-Nemotron-3-Nano ci_low,GPT-OSS-20B-Nemotron-3-Nano ci_high,GPT-OSS-20B-Nemotron-3-Nano p
none (pair ID),504,1,43.0556,38.4921,47.619,9.99990000099999e-06,4.5635,1.3889,7.5397,0.007019929800701993,-1.7857,-6.3492,2.7778,0.5020949790502095,38.4921,32.9365,44.246,9.99990000099999e-06,44.8413,38.4921,51.3889,9.99990000099999e-06,6.3492,0.7937,11.9048,0.03210967890321097
0.80,496,2,43.0556,38.5375,47.6096,9.99990000099999e-06,4.5635,1.3944,7.7535,0.006809931900680993,-1.7857,-6.6801,2.9644,0.5127748722512775,38.4921,32.9411,44.1352,9.99990000099999e-06,44.8413,38.247,51.3889,9.99990000099999e-06,6.3492,0.5941,12.1032,0.03645963540364596
0.70,459,6,43.0556,38.314,47.7929,9.99990000099999e-06,4.5635,1.3645,7.8802,0.007769922300776992,-1.7857,-6.4456,2.8455,0.5079349206507935,38.4921,32.6651,44.1459,9.99990000099999e-06,44.8413,38.095,51.2873,9.99990000099999e-06,6.3492,0.5988,12.0553,0.03704962950370496
0.65,420,20,43.0556,37.9796,48.1483,9.99990000099999e-06,4.5635,1.2525,7.839,0.00978990210097899,-1.7857,-6.8647,3.3128,0.5571044289557104,38.4921,32.6172,44.4219,9.99990000099999e-06,44.8413,37.5486,52.2106,9.99990000099999e-06,6.3492,0.2012,12.527,0.06157938420615794
0.60,380,25,43.0556,38.0341,48.1093,9.99990000099999e-06,4.5635,1.3127,7.6322,0.008789912100878991,-1.7857,-7.6364,4.176,0.6299537004629954,38.4921,32.8482,44.1956,9.99990000099999e-06,44.8413,36.6411,52.8003,9.99990000099999e-06,6.3492,-0.6357,13.1206,0.1006089939100609
0.55,341,26,43.0556,37.8048,48.2493,9.99990000099999e-06,4.5635,1.3158,7.804,0.010389896101038989,-1.7857,-7.8102,4.0703,0.6322436775632244,38.4921,32.524,44.3279,9.99990000099999e-06,44.8413,36.559,52.8897,9.99990000099999e-06,6.3492,-0.5944,13.3215,0.1018889811101889
0.50,293,29,43.0556,37.3134,48.5716,9.99990000099999e-06,4.5635,1.3257,7.8313,0.010779892201077989,-1.7857,-7.4074,3.7649,0.6105938940610594,38.4921,32.2104,44.4444,9.99990000099999e-06,44.8413,36.1786,53.3091,9.99990000099999e-06,6.3492,0.0,12.7155,0.08047919520804792
