model,model_display,n_pairs,en_refusal_rate,en_refusal_ci_low,en_refusal_ci_high,en_refusal_count,rh_refusal_rate,rh_refusal_ci_low,rh_refusal_ci_high,rh_refusal_count,refusal_gap_pp,refusal_gap_ci_low_pp,refusal_gap_ci_high_pp,forward_flip_rate,forward_flip_ci_low,forward_flip_ci_high,forward_flip_count,reverse_flip_rate,reverse_flip_ci_low,reverse_flip_ci_high,reverse_flip_count,critical_forward_rate,critical_forward_ci_low,critical_forward_ci_high,critical_forward_count,critical_reverse_rate,critical_reverse_ci_low,critical_reverse_ci_high,critical_reverse_count
qwen/qwen3-30b-a3b-instruct-2507,Qwen3-30B-A3B,503,0.6600397614,0.6182902584,0.7017892644,332,0.2286282306,0.1928429423,0.2664015905,115,43.14115308,38.76739563,47.71371769,0.435387674,0.393638171,0.4791252485,219,0.01391650099,0.003976143141,0.02584493042,7,0.1689860835,0.1371769384,0.2027833002,85,0.003976143141,0,0.009940357853,2
openai/gpt-oss-20b,GPT-OSS-20B,504,0.8670634921,0.8353174603,0.8948412698,437,0.8214285714,0.7876984127,0.8532242063,414,4.563492063,1.388888889,7.738095238,0.08333333333,0.05952380952,0.1071428571,42,0.04166666667,0.02579365079,0.05952380952,21,0.02976190476,0.01587301587,0.04563492063,15,0.0119047619,0.003968253968,0.02182539683,6
nvidia/nemotron-3-nano-30b-a3b,Nemotron-3-Nano,503,0.6222664016,0.5805168986,0.6640159046,313,0.6401590457,0.5984095427,0.6819085487,322,-1.789264414,-6.361829026,2.783300199,0.1292246521,0.1013916501,0.1590457256,65,0.1391650099,0.1112823062,0.1709741551,70,0.04373757455,0.02584493042,0.06361829026,22,0.01988071571,0.007952286282,0.0337972167,10
