model,model_display,n_pairs,en_refusal_rate,en_refusal_ci_low,en_refusal_ci_high,en_refusal_count,rh_refusal_rate,rh_refusal_ci_low,rh_refusal_ci_high,rh_refusal_count,refusal_gap_pp,refusal_gap_ci_low_pp,refusal_gap_ci_high_pp,forward_flip_rate,forward_flip_ci_low,forward_flip_ci_high,forward_flip_count,reverse_flip_rate,reverse_flip_ci_low,reverse_flip_ci_high,reverse_flip_count,critical_forward_rate,critical_forward_ci_low,critical_forward_ci_high,critical_forward_count,critical_reverse_rate,critical_reverse_ci_low,critical_reverse_ci_high,critical_reverse_count
qwen/qwen3-30b-a3b-instruct-2507,Qwen3-30B-A3B,504,0.6587301587,0.6170634921,0.6984126984,332,0.2281746032,0.1924603175,0.2658730159,115,43.05555556,38.49206349,47.61904762,0.4345238095,0.3908730159,0.4761904762,219,0.01388888889,0.003968253968,0.02579365079,7,0.1686507937,0.1369047619,0.2023809524,85,0.003968253968,0,0.009920634921,2
openai/gpt-oss-20b,GPT-OSS-20B,504,0.8670634921,0.8353174603,0.8968253968,437,0.8214285714,0.7857142857,0.8531746032,414,4.563492063,1.388888889,7.738095238,0.08333333333,0.05952380952,0.1071428571,42,0.04166666667,0.02579365079,0.05952380952,21,0.02976190476,0.01587301587,0.04563492063,15,0.0119047619,0.003968253968,0.02182539683,6
nvidia/nemotron-3-nano-30b-a3b,Nemotron-3-Nano,504,0.621031746,0.5773809524,0.6626984127,313,0.6388888889,0.5972222222,0.6805555556,322,-1.785714286,-6.547619048,2.777777778,0.128968254,0.1011904762,0.1587301587,65,0.1388888889,0.1091269841,0.1706349206,70,0.04365079365,0.02579365079,0.06150793651,22,0.01984126984,0.007936507937,0.03373015873,10
