judge,model,model_display,n_pairs,en_refusal_count,en_refusal_rate,en_refusal_ci_low,en_refusal_ci_high,rh_refusal_count,rh_refusal_rate,rh_refusal_ci_low,rh_refusal_ci_high,refusal_gap_pp,refusal_gap_ci_low_pp,refusal_gap_ci_high_pp,forward_count,forward_rate,forward_ci_low,forward_ci_high,reverse_count,reverse_rate,reverse_ci_low,reverse_ci_high,critical_forward_count,critical_forward_rate,critical_forward_ci_low,critical_forward_ci_high,critical_reverse_count,critical_reverse_rate,critical_reverse_ci_low,critical_reverse_ci_high
Gemini-primary pipeline,qwen/qwen3-30b-a3b-instruct-2507,Qwen3-30B-A3B,324,213,0.6574074074,0.6049382716,0.7067901235,75,0.2314814815,0.1851851852,0.2777777778,42.59259259,37.03703704,48.45679012,141,0.4351851852,0.3827160494,0.4907407407,5,0.01543209877,0.003086419753,0.03086419753,53,0.1635802469,0.1265432099,0.2037037037,2,0.006172839506,0,0.01543209877
Gemini-primary pipeline,openai/gpt-oss-20b,GPT-OSS-20B,324,277,0.8549382716,0.8148148148,0.8919753086,268,0.8271604938,0.7839506173,0.8672839506,2.777777778,-0.9259259259,6.790123457,24,0.07407407407,0.0462962963,0.1049382716,15,0.0462962963,0.02469135802,0.07098765432,10,0.03086419753,0.01234567901,0.04938271605,5,0.01543209877,0.003086419753,0.03086419753
Gemini-primary pipeline,nvidia/nemotron-3-nano-30b-a3b,Nemotron-3-Nano,324,200,0.6172839506,0.5648148148,0.6697530864,205,0.6327160494,0.5802469136,0.6851851852,-1.543209877,-7.407407407,4.62962963,46,0.1419753086,0.1049382716,0.1820987654,47,0.1450617284,0.1080246914,0.1851851852,16,0.04938271605,0.02777777778,0.07407407407,8,0.02469135802,0.009259259259,0.04320987654
GPT-5 Mini,qwen/qwen3-30b-a3b-instruct-2507,Qwen3-30B-A3B,324,175,0.5401234568,0.4845679012,0.5925925926,34,0.1049382716,0.07098765432,0.1388888889,43.51851852,37.65432099,49.38271605,146,0.450617284,0.3981481481,0.5030864198,7,0.02160493827,0.006172839506,0.04012345679,102,0.3148148148,0.2654320988,0.3641975309,0,0,0,0
GPT-5 Mini,openai/gpt-oss-20b,GPT-OSS-20B,324,271,0.8364197531,0.7962962963,0.8765432099,260,0.8024691358,0.7592592593,0.8456790123,3.395061728,-0.6172839506,7.407407407,27,0.08333333333,0.05555555556,0.1141975309,16,0.04938271605,0.02777777778,0.07407407407,21,0.06481481481,0.04012345679,0.09259259259,14,0.04320987654,0.02160493827,0.06481481481
GPT-5 Mini,nvidia/nemotron-3-nano-30b-a3b,Nemotron-3-Nano,324,163,0.5030864198,0.450617284,0.5586419753,190,0.5864197531,0.5339506173,0.6388888889,-8.333333333,-14.81481481,-1.851851852,43,0.1327160494,0.09567901235,0.1728395062,69,0.212962963,0.1697530864,0.2592592593,34,0.1049382716,0.07098765432,0.1388888889,35,0.1080246914,0.07407407407,0.1419753086
