,rh_0,rh_1,rh_2,rh_3
en_0,89.702517,0.686499,6.178490,3.432494
en_1,33.333333,0.000000,66.666667,0.000000
en_2,31.914894,2.127660,44.680851,21.276596
en_3,35.294118,0.000000,29.411765,35.294118
