,rh_0,rh_1,rh_2,rh_3
en_0,32.228916,1.807229,40.361446,25.602410
en_1,8.333333,50.000000,41.666667,0.000000
en_2,5.434783,0.000000,52.173913,42.391304
en_3,2.941176,0.000000,26.470588,70.588235
