,rh_0,rh_1,rh_2,rh_3
en_0,78.913738,0.319489,13.738019,7.028754
en_1,45.454545,0.000000,54.545455,0.000000
en_2,44.117647,0.735294,44.852941,10.294118
en_3,22.727273,0.000000,31.818182,45.454545
